,fields
4018,idx99_17
16709,idxbh
11515,idxml
8278,m1
21097,m10
17402,m11
11857,m12
10380,m13
17571,m14
304,m15
7323,m16
18636,m17
17263,m17a
5056,m18
20068,m19
7723,m19a
4999,m1a
23,m1b
8172,m1c
3022,m1d
8615,m1e
10778,m2
9105,m20
330,m21
18067,m22
5867,m23
7461,m24
2164,m25
14928,m26
16845,m27
13384,m28
11534,m29
1374,m2a
17024,m2b
8441,m2c
15088,m2d
13258,m2e
15831,m2f
16740,m2g
18283,m2h
16719,m2i
19600,m2j
9692,m2k
11559,m2l
3603,m2m
8607,m2n
10068,m3
594,m30
3442,m31
19274,m32
14905,m33
19735,m34
6471,m35
12702,m36
5587,m37a
19863,m37b
11087,m37c
16858,m37d
19718,m37e
18706,m37f
8030,m37g
14341,m37h
4371,m37i
7289,m37j
9945,m37k
351,m37l
11546,m37m
3944,m37n
3563,m37o
11603,m37p
5129,m37q
15728,m37r
5665,m37s
10838,m37t
4400,m37u
18919,m37v
8165,m37w
8654,m37x
8086,m37xx
13519,m37xy
14411,m37xz
6457,m37y
19410,m37z
21382,m38
19167,m39
1977,m39a
5284,m3a
9302,m3b
20565,m3c
12879,m3d
5230,m3e
12328,m3f
8959,m3g
17877,m3h
9317,m3i
12557,m3j
19170,m3k
10574,m3l
11461,m3m
18909,m3n
20900,m4
19464,m40a
16887,m40b
14007,m40c
19452,m40d
11307,m40e
1484,m40f
714,m40g
8731,m40h
4227,m40i
1901,m40j
13917,m40k
9383,m40l
5094,m40m
14010,m40n
15643,m40o
21368,m40p
6201,m40q
12559,m40r
9863,m40s
4951,m40t
6893,m40u
3021,m40v
9010,m40w
6678,m40x
19441,m40xx
5550,m40xy
8069,m40xz
19558,m40y
13043,m40z
2240,m41
9647,m42a
2218,m42b
14460,m42c
10906,m42d
20681,m42e
18345,m43
13805,m44
14,m444i1
1442,m444i2
10942,m444yf
19762,m45
18680,m46
3483,m47
3786,m48
20374,m49a
16518,m49b
19609,m49c
18325,m49d
9301,m49e
11668,m49f
15148,m49g
19963,m49x
6821,m49y
4689,m49z
4565,m5
18360,m50
2652,m51
20561,m51a
19128,m52
13341,m53
10066,m54
1497,m55
21315,m55a
19840,m55b
1590,m55c
3568,m55d
14269,m55e
7836,m55f
11663,m55g
19253,m55h
17006,m55i
2692,m55j
18307,m55k
16061,m55l
10151,m55m
3744,m55n
16393,m55o
8272,m55x
19160,m55z
19713,m56
1315,m57a
11803,m57b
17031,m57c
5349,m57d
3347,m57e
8944,m57f
14090,m57g
314,m57h
5242,m57i
4225,m57j
7057,m57k
119,m57l
9574,m57m
21669,m57n
18949,m57o
9,m57p
